Xuất xứ,Tình trạng,Dòng xe,Số Km đã đi,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi,Động cơ,Hệ thống nạp nhiên liệu,Hộp số,Dẫn động,Tiêu thụ nhiên liệu,Mô tả,Hãng,Grade,Năm sản xuất,Tên xe,Giá,Mã tin,URL
Nhập khẩu,Xe đã dùng,SUV,0 Km,Đen,Đỏ,5 cửa,5 chỗ,Xăng	4.0 L,,Số tự động,AWD - 4 bánh toàn thời gian,L/100Km,"Mercedes G63AMG 2022 mới đến 98%Siêu chất với vô vàn option đáng giá: đèn Multibeam, ghế massage, nâng hạ gầm, đèn aimbientlight, cửa nóc, ghế Designo, DVD sau...Xe đẹp giá tốt ko mua là thiệt!",Mercedes Benz,G class,2022,Xe Mercedes Benz G class G63 AMG 2022,12 Tỷ 950 Triệu,4705110,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2022-4705110
Lắp ráp trong nước,Xe đã dùng,Sedan,"80,000 Km",Cát,Đen,4 cửa,5 chỗ,Xăng	1.5 L,,Số tay,FWD - Dẫn động cầu trước,L/100Km,"Tùng Dương Auto mới về Toyota Vios E - odo 8,2 vạn - cam kết chất lượng.✓ Hỗ trợ bank 50% - 70% giá trị xe✓ Địa chỉ: TT Lập Thạch, Lập Thạch, Vĩnh Phúc.Văn bản cam kết.- Xe không bị tai nạn.- Xe không bị ngập nước- Xe không phạt nguội.- Giấy tờ pháp lý hợp lệ, không tranh chấp, cầm cố.",Toyota,Vios,2021,Xe Toyota Vios E 1.5 MT 2021,445 Triệu,4895986,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2021-4895986
Nhập khẩu,Xe đã dùng,SUV,"50,000 Km",Nâu,Đồng,5 cửa,8 chỗ,Xăng	2.7 L,,Số tự động,RFD - Dẫn động cầu sau,L/100Km,Toyota Fortuner 2.7AtSản xuất 2019Xe chạy chuẩn 5 vạnKhông đâm đụngKhông ngập nướcKhông phạt nguội,Toyota,Fortuner,2019,Xe Toyota Fortuner 2.7V 4x2 AT 2019,875 Triệu,4800872,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2019-4800872
Lắp ráp trong nước,Xe đã dùng,Hatchback,"130,000 Km",Xanh,Kem,5 cửa,5 chỗ,Xăng	1.0 L,,Số tự động,FWD - Dẫn động cầu trước,6	L/100Km,"Do nhu cầu mua xe gầm cao7 chỗ nên mình nhượng lại cho ai cần.Xe Spark 2013 bản full 5 chỗ SỐ TỰ ĐỘNG, xe nhà đi rất ít, nên còn mới, tất cả nguyên bản theo xe. Đã có màn hình, camera lùi, giải trí âm thanh hay.Ai cần gọi mình, xem xe tại Mai Dịch ạ",Chevrolet,Spark,2013,Xe Chevrolet Spark LTZ 1.0 AT 2013,198 Triệu,4884469,https://bonbanh.com/xe-chevrolet-spark-ltz-1.0-at-2013-4884469
Lắp ráp trong nước,Xe đã dùng,SUV,"80,000 Km",Trắng,Đen,5 cửa,5 chỗ,Xăng	1.5 L,Đ,Số tự động,FWD - Dẫn động cầu trước,5	L/100Km,"Cần bán Ford Ecosport 1.5l Titanium, sản xuất đăng ký 2016, màu trắng, biển Thành phố, xe đứng tên cá nhân, 1 chủ từ mới. Chủ đi giữ gìn, Khung gầm thân vỏ máy móc nguyên zin. Giá liên hệ",Ford,EcoSport,2016,Xe Ford EcoSport Titanium 1.5L AT 2016,415 Triệu,4829384,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2016-4829384
Lắp ráp trong nước,Xe đã dùng,Sedan,"112,000 Km",Đen,Ghi,4 cửa,5 chỗ,Xăng	1.5 L,,Số tay,FWD - Dẫn động cầu trước,6	L/100Km,"Vì gia đình mua xe 7 chỗ nên nhượng lại, chiếc Sedan dài rộng màu đen cực sang trọng, đẳng cấp. Chevrolet Aveo 2013.Xe trang bị đủ màn hình camera lùi. Âm thanh cực hay, đi rất thích mà lại tiết kiệm xăng, máy 1.5, biển 818 víp đẹp.Tất cả nguyên bản như xe mới, Quá rẻ. Xe cực mới nhé.Tội gì phải đi xe SH nắng mưa, ai nhanh tay thì mua được chiếc xe đẹp nhé, (Miễn tiếp thợ trung gian, cò mồi, tránh mất tgian 2 bên) Ai mua đi gia đình, alo cho mình. Đảm bảo xem xe là ưng ngay ạ.Thanks!",Chevrolet,Aveo,2013,Xe Chevrolet Aveo 1.5 MT 2013,155 Triệu,4861404,https://bonbanh.com/xe-chevrolet-aveo-1.5-mt-2013-4861404
Lắp ráp trong nước,Xe đã dùng,SUV,"12,000 Km",Bạc,Đen,5 cửa,5 chỗ,Xăng	1.5 L,,Số tay,FWD - Dẫn động cầu trước,6	L/100Km,"Bán Ford Ecosport Titanium 2018 siêu lướt 12.000 km. Hỗ trợ vay NH 70%Hỗ trợ rút gốc về tỉnhCam kết xe nguyên bản không cấn đụng hay ngập nước, bảo hành tới 2023",Ford,EcoSport,2018,Xe Ford EcoSport Ambiente 1.5L MT 2018,405 Triệu,4891673,https://bonbanh.com/xe-ford-ecosport-ambiente-1.5l-mt-2018-4891673
Nhập khẩu,Xe mới,SUV,0 Km,Trắng,-,5 cửa,7 chỗ,Dầu	1.9 L,,Số tự động,RFD - Dẫn động cầu sau,L/100Km,"Isuzu MU-X B7 PlusXe trang bị: Hệ thống chống bó cứng phanh (ABS)Phân bổ lực phanh (EBD)Hệ thống trợ lực phanh khẩn cấp (BA)Cân bằng điện tử (ESC)Hệ thống chống trượt (TCS)Hỗ trợ lên/xuống dốcĐèn phanh khẩn cấp (ESS)Hệ thống cảnh báo điểm mùHệ thống cảnh báo phương tiện cắt ngang khi lùi xeĐèn pha điều chỉnh chùm tia tự độngKiểm soát hành trình thích ứng (Adaptive Cruise Control), chức năng (Stop & Go)Nhận diện phương tiện phía trước bằng camera 3D (ADAS)Hệ thống cảnh báo va chạm trướcHệ thống phanh tự động khẩn cấp (tự động)Phanh sau va chạmCảnh báo chệch làn đường6 túi khí (trước - bên - rèm an toàn)Camera lùi, 4 cảm biến hỗ trợ đỗ xe phía trước và sau",Isuzu,MU-X,2023,Xe Isuzu MU-X B7 Plus 1.9 4X2 AT 2023,945 Triệu,4528923,https://bonbanh.com/xe-isuzu-mu-x-b7-plus-1.9-4x2-at-2023-4528923
Lắp ráp trong nước,Xe đã dùng,Bán tải / Pickup,0 Km,Vàng,Đen,4 cửa,5 chỗ,Dầu	2.0 L,,Số tự động,4WD - Dẫn động 4 bánh,7	L/100Km,Ford Ranger wildtrack sx 2022 dk 11/2022 1 chủ mua mới lăn bánh 11.000km . xe model 2023 một bầu trời công nghệ . cảm giác lái rất nâng niu . xe chuẩn cây số bao check hãng cho anh chi em,Ford,Ranger,2022,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2022,885 Triệu,4832015,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2022-4832015
Lắp ráp trong nước,Xe đã dùng,Sedan,"70,000 Km",Đen,Kem,4 cửa,5 chỗ,Xăng	1.6 L,,Số tay,FWD - Dẫn động cầu trước,6	L/100Km,Salon ô tô Ngọc Sơn đang bán Hyundai Elantra GLS 1.6 MT sx 2018.Quý khách hàng có nhu cầu xin liên hệ hotline để được tư vấn trực tiếp về thông tin xe cũng như được hỗ trợ về giá.Salon ô tô Ngọc Sơn cam kết.- Xe không đâm đụng.- Không ngập nước.- Pháp lý đầy đủ.- Sang tên trong nốt nhạc.- Hỗ trợ bank đến 70% giá trị xe.Xin chân thành cán ơn.,Hyundai,Elantra,2018,Xe Hyundai Elantra 1.6 MT 2018,410 Triệu,4612658,https://bonbanh.com/xe-hyundai-elantra-1.6-mt-2018-4612658
